Comments,NEG,NEU,POS,Compound,Sentiment
Denis don’t play because today is NOT the day 🤣🤣🤣🤣🤣 you had all week to use PTO,0.0,0.87,0.13,0.34,POS
"Ok, tomorrow, bud!! We appreciate ypu and your team!!",0.0,0.536,0.464,0.7243,POS
"My husband and I tune in almost religiously to watch from OH. We were set to come down on Oct 5, and should be there right now. We started really tuning into your broadcasting about a week or so before Helene and thank God we did.
Keeping all of you in our hearts. And hope to see you all in January",0.0,0.882,0.118,0.7579,POS
you can come down about middle of November unless you want to spend Thanksgiving and Christmas with family. We can still get Hurricanes at the beginning of November. There's another one heading our way next week!!,0.0,0.949,0.051,0.2225,POS
how do you tune in from out of the area?,0.0,1.0,0.0,0.0,NEU
I was supposed to be in my car heading to Largo area NOW! Lol,0.0,0.795,0.205,0.4753,POS
PTO for denis means POTENTIAL TORNADO OUTSIDE,0.0,1.0,0.0,0.0,NEU
Can’t say I blame you. We all thank you for your stellar self! Stay safe.,0.126,0.576,0.298,0.5093,POS
Hello how are you doing today,0.0,1.0,0.0,0.0,NEU
Hahahaha. I literally just laughed out loud.,0.0,0.625,0.375,0.4588,POS
" of my goodness, that made me laugh so hard!! They actually called me to see if I would pick up a shift tonight. Oh hell no",0.265,0.545,0.189,-0.392,NEG
love when that happens,0.0,0.417,0.583,0.6369,POS
"I think you’ve earned a good 6 months of PTO these past couple of weeks! You are amazing, thank you for all you do!",0.0,0.648,0.352,0.8684,POS
He is awesome and does a fabulous job!,0.0,0.391,0.609,0.8313,POS
No way...we need you. Thank you for your calming words. Stay safe ,0.12,0.437,0.443,0.7096,POS
"Hi friend!
Be safe!",0.0,0.23,0.77,0.7707,POS
I think you should have PTO Nov 2 - Dec 31 every year. Something to bring to the table for a new contract 😊thank you for your dedication,0.0,1.0,0.0,0.0,NEU
then we wouldn’t get to see his Christmas lights!!!,0.0,1.0,0.0,0.0,NEU
he would have to wait til Nov 30 (last day of hurricane season),0.0,1.0,0.0,0.0,NEU
I see you got jokes!!🤣😆 we truly need you!! When I start to freak out I come to your page for reassurance! Please have the best vacation but after this! 🖤 thank you for all you do!,0.047,0.645,0.309,0.8744,POS
I think you should be able to have on air cocktails after the season you have had!,0.0,1.0,0.0,0.0,NEU
we're not at SOCCENT anymore....no day drinking until this passes.,0.0,1.0,0.0,0.0,NEU
Thank you for making me laugh. I so needed it right now ❤️. I bet your boss didn’t think it was funny ,0.0,0.654,0.346,0.8402,POS
hope you are safe! Miss you,0.15,0.281,0.57,0.6696,POS
lol needed that laugh. Thanks for all you do to keep us informed and safe.,0.0,0.474,0.526,0.9042,POS
You deserve a vacation!,0.0,1.0,0.0,0.0,NEU
after hurricane season!,0.0,1.0,0.0,0.0,NEU
we need to do a Gofundme page for the entire Phillips family (imagine the sacrifices his wife makes so he can work for us!!! And his kids giving up time with dad!!) to go in the biggest best vacation ever as a show of our enormous gratitude!!!! ,0.0,0.847,0.153,0.8302,POS
We all appreciate you more than you will ever know- for so many reasons !,0.0,0.813,0.187,0.4574,POS
We all needed that good laugh 🤣 Denis for the win!,0.0,0.398,0.602,0.8908,POS
definitely needed a good laugh.,0.0,0.098,0.902,0.8481,POS
So what was your bosses response? Lol,0.0,0.682,0.318,0.4215,POS
"Thank you for all that you did. I know it’s hard to keep everyone informed. It is a very important job and I’m sure we all appreciate all the hard work. If you ask me, you could have the next couple days off ",0.059,0.739,0.202,0.7778,POS
You play too much! We'd cry without you today.,0.265,0.547,0.188,-0.2481,NEG
Thank you Denis Phillips& all the other meteorologists & newscasters for keeping us informed. We see your hard work and dedication to the community and just know that we appreciate it more deeply than you can imagine.,0.035,0.833,0.131,0.5859,POS
"You mentioned levity in your live last night, and that IS so important! Thank you Denis Phillips !",0.0,0.724,0.276,0.6936,POS
Boss: Best I can do is more Diet Dr. Pepper,0.0,0.656,0.344,0.6369,POS
 this one wins.,0.0,0.351,0.649,0.5719,POS
Denied! You need to babysit Milton. Rest later...and there'd better not be anything else out there. We are done! (I know..you don't actually control that.),0.101,0.799,0.101,0.0,NEU
someone send this man a case of Dr. Pepper. He needs to stay awake.,0.0,1.0,0.0,0.0,NEU
Thank you for everything you do to keep us all informed. You definitely deserve some PTO,0.0,0.729,0.271,0.6369,POS
I was just telling my husband that I hope you get 2 weeks of rest after hurricane season. You deserve it!,0.0,0.842,0.158,0.4926,POS
"he’s like Santa Claus, he gets vacation after the season but boy does he deserve a great one!!! Stay safe! We left.",0.0,0.592,0.408,0.9249,POS
"We all know how dedicated you are, and we not only count on it, but we appreciate it. God bless.",0.0,0.573,0.427,0.8979,POS
"That’s cute, but PTO is denied! Denis Phillips, my family appreciates everything you’re doing to keep us informed❤️ Stay safe!",0.125,0.521,0.354,0.7926,POS
I needed this laugh!,0.0,0.339,0.661,0.5983,POS
"I’m sorry your request for PTO has been denied. All of Florida is relying on you right now 🤣 You’ll be allowed double time off once this storm is over, you’ve earned it",0.123,0.877,0.0,-0.4939,NEG
"if you called out today, i think i would just let the hurricane take me away. you are my only source of peace",0.0,0.851,0.149,0.5423,POS
You deserve it Denis Phillips!! Thank you for you dedication and hard work!,0.089,0.697,0.214,0.4545,POS
Denis Phillips I speak for us all - we needed this laugh! We are so grateful for you!,0.0,0.617,0.383,0.8658,POS
