Lots of folks talking about this funnel cloud. Brandon to Riverview. This is from Harbour Island. 📸 Karine Henschen,Pos,Neu,Neg,Compound,Overall Sentiment
Looks beautiful,0.796,0.204,0.0,0.5994,POS
Looks like a dragon 🐉 😳,0.556,0.444,0.0,0.3612,POS
Right over my daughter’s work.,0.0,1.0,0.0,0.0,NEU
is this in Brandon?,0.0,1.0,0.0,0.0,NEU
yes,1.0,0.0,0.0,0.4019,POS
yikes!! And here I was in Brandon God knows doing whatever having no idea this was in the works 😬,0.101,0.766,0.133,-0.1739,NEG
"❤️❤️👋👋Wishing you a happy new month filled with love, joy, and success. May this month bring you closer to your dreams. Happy new month!
As we step into a new month, may all your worries be replaced with happiness and all your dreams turn into reality. Happy new month!xxx ❤️👋😘",0.443,0.519,0.038,0.9843,POS
Right in my backyard but I was sleeping 😴,0.0,1.0,0.0,0.0,NEU
So cool! Why do I never see things like this?,0.241,0.584,0.176,0.1962,POS
"301 and faulkenberg",0.0,1.0,0.0,0.0,NEU
Our local Apollo Beach group had several take pics of it from Rt. 41 & Big Bendover Rd.,0.0,1.0,0.0,0.0,NEU
That’s a very interesting rename of Big Bend Rd. 😂,0.3,0.7,0.0,0.4576,POS
Freudian slip ?,0.0,1.0,0.0,0.0,NEU
This be early storm watch,0.0,1.0,0.0,0.0,NEU
My friend caught a video of that same one today,0.286,0.714,0.0,0.4939,POS
View from Winthrop,0.0,1.0,0.0,0.0,NEU
I saw it too brandon,0.0,1.0,0.0,0.0,NEU
Absolutely stunning,0.743,0.257,0.0,0.4391,POS
This is crazy,0.0,0.455,0.545,-0.34,NEG
Why do I always miss them!😭,0.0,0.679,0.321,-0.2244,NEG
"I took this pic from Riverview",0.0,1.0,0.0,0.0,NEU
Not Harbour Island river view from HI to DI doesn’t look like this.,0.172,0.828,0.0,0.3612,POS
We saw it too,0.0,1.0,0.0,0.0,NEU
Wimauma here ❤️!!!,0.0,1.0,0.0,0.0,NEU
"no way! I'm in Wimauma!",0.0,0.59,0.41,-0.4184,NEG
Yes Indeed!!,0.767,0.233,0.0,0.508,POS
Just drove from temple terrace into riverview on 301. Saw a lot of lightning coming off that storm.,0.0,1.0,0.0,0.0,NEU
We saw it,0.0,1.0,0.0,0.0,NEU
It's a dragon,0.0,1.0,0.0,0.0,NEU
This is in my neighborhood! My neighbor took this picture about 15 minutes ago! In Riverview near 301 and Faulkenburg!,0.0,1.0,0.0,0.0,NEU
"That's not harbor island, it's AJs on the Alafia River",0.0,1.0,0.0,0.0,NEU
I saw that heading to TGH. It got real windy shortly after that.,0.0,1.0,0.0,0.0,NEU
Where is Riverview? What state?,0.0,1.0,0.0,0.0,NEU
Florida,0.0,1.0,0.0,0.0,NEU
this was in Florida this evening around 6pm,0.0,1.0,0.0,0.0,NEU
"❤️❤️👋👋Wishing you a happy new month filled with love, joy, and success. May this month bring you closer to your dreams. Happy new month!
As we step into a new month, may all your worries be replaced with happiness and all your dreams turn into reality. Happy new month!xxx ❤️👋😘",0.443,0.519,0.038,0.9843,POS
Florida,0.0,1.0,0.0,0.0,NEU
i saw it from 75 passing through Brandon.,0.0,1.0,0.0,0.0,NEU
I was going to ask you about this! Bet that was amazing to see!,0.268,0.732,0.0,0.658,POS
"❤️❤️👋👋Wishing you a happy new month filled with love, joy, and success. May this month bring you closer to your dreams. Happy new month!
As we step into a new month, may all your worries be replaced with happiness and all your dreams turn into reality. Happy new month!xxx ❤️👋😘",0.443,0.519,0.038,0.9843,POS
It was popular,0.583,0.417,0.0,0.4215,POS
Boop! Tag you’re it!,0.0,1.0,0.0,0.0,NEU
Very cool!! 😎,0.761,0.239,0.0,0.49,POS
"Saw it driving down 301 when it started to form 🫣",0.0,1.0,0.0,0.0,NEU
Pic from Gibsonton,0.0,1.0,0.0,0.0,NEU
Pics from Apollo Beach,0.0,1.0,0.0,0.0,NEU
So many great pics from all over the area and the great news is it never touched the ground! PTL & thanks for sharing! ❤️🤍💙🇺🇸,0.505,0.495,0.0,0.9656,POS
Saw a suspicious cloud and we were right lol. This was taken from Lumsden Rd. in Brandon.,0.145,0.725,0.13,0.0772,POS
Numerous Storm Parties this Weekend!! DON 🧐,0.396,0.604,0.0,0.508,POS
Saw it today as well from the USAA Crosstown office,0.189,0.811,0.0,0.2732,POS
Yeah scary sight on my way home yesterday. Lumsden and providence,0.153,0.625,0.222,-0.25,NEG
From Riverview,0.0,1.0,0.0,0.0,NEU
"I saw it forming from I-75 on the way home.",0.0,1.0,0.0,0.0,NEU
"My daughter Jamie
sent me this one in her neighborhood in Riverview.",0.0,1.0,0.0,0.0,NEU
"And then, poof. Gone",0.0,1.0,0.0,0.0,NEU
yikes,0.0,1.0,0.0,0.0,NEU
Dam right LOL,0.639,0.361,0.0,0.5473,POS
yeah we saw it then it dissipated,0.268,0.732,0.0,0.296,POS
facts,0.0,1.0,0.0,0.0,NEU
there it is!!!,0.0,1.0,0.0,0.0,NEU
"I saw!!",0.0,1.0,0.0,0.0,NEU
I wish I could have seen it!,0.428,0.572,0.0,0.4574,POS
Yikes!!!,0.0,1.0,0.0,0.0,NEU
funnel cloud ☁️,0.355,0.645,0.0,0.0258,NEU
wow! That’s crazy! So glad it didn’t touch down!,0.487,0.367,0.147,0.7628,POS
glad I didn’t see it!!,0.544,0.456,0.0,0.555,POS
"I came here to tag you!♥️",0.0,1.0,0.0,0.0,NEU
was it near you?,0.0,1.0,0.0,0.0,NEU
I had left the shop already,0.0,1.0,0.0,0.0,NEU
Pics were taken at the shop,0.0,1.0,0.0,0.0,NEU
Over broadway in tampa,0.0,1.0,0.0,0.0,NEU
from our driveway,0.0,1.0,0.0,0.0,NEU
I was stuck in traffic heading home and watched it form -it was equal parts cool and anxiety raising 😵‍💫,0.105,0.727,0.168,-0.1027,NEG
didn’t see it but heard about it,0.0,1.0,0.0,0.0,NEU
let’s go film Twister 2!!! 🤣,0.0,1.0,0.0,0.0,NEU
🙄👀👀👀,0.0,1.0,0.0,0.0,NEU
"that’s a beautiful view honestly",0.775,0.225,0.0,0.7845,POS
My backyard on Riverview drive,0.0,1.0,0.0,0.0,NEU
Twisters doing some next level marketing.,0.0,1.0,0.0,0.0,NEU
From the Alafia 🌪️,0.0,1.0,0.0,0.0,NEU
Yikes not good.,0.0,0.454,0.546,-0.3412,NEG
Wild,0.0,1.0,0.0,0.0,NEU
Brandon,0.0,1.0,0.0,0.0,NEU
Very cool.,0.722,0.278,0.0,0.3804,POS
"Wimauma",0.0,1.0,0.0,0.0,NEU
Very cool!,0.743,0.257,0.0,0.4376,POS
frightening,0.0,0.0,1.0,-0.4939,NEG
