"Debby is now a hurricane. Winds are 75 mph. No changes to track or landfall estimate. We are LIVE right now on DPL so if you have any questions, you can stop by and say Hi. Jason Adams will be in shortly as well. ABC Action News at 11 starts now.",Pos,Neu,Neg,Compound,Overall Sentiment
Be safe everyone!❤️,0.615,0.385,0.0,0.4926,POS
Denis Phillips are you simulcasting on a radio station tonight?,0.0,1.0,0.0,0.0,NEU
Wind and rain in Steinhatchee. Power was out for about an hour. It’s going to be a long night here.,0.0,1.0,0.0,0.0,NEU
"Prayers for everyone's safety 🙏🏻",0.412,0.588,0.0,0.4215,POS
Lightning thunder and rain in Zephyrhills,0.0,1.0,0.0,0.0,NEU
"Strong winds & heavy rain in Pasco",0.398,0.602,0.0,0.5106,POS
"Denis Phillips visiting family in Atlanta area right now. When will it get here?
(Cause it always follows me from our home in Florida) lol",0.104,0.896,0.0,0.4215,POS
"Suggestion, move the storm name and data over so part of the track is not covered.",0.0,1.0,0.0,0.0,NEU
High winds & heavy rain in Lutz right now.,0.0,1.0,0.0,0.0,NEU
How do I see DPL live? Thank you,0.294,0.706,0.0,0.3612,POS
"ABC Action News",0.0,1.0,0.0,0.0,NEU
"he’s live now on Facebookz",0.0,1.0,0.0,0.0,NEU
"Lotta lightning on Madeira beach, didn’t think that was normal for hurricanes?",0.0,1.0,0.0,0.0,NEU
i just said this earlier. no lightening then later boom. We got tropical and turned into hurricane after passing us. different kind of storm after the bands im guessing.... Denis Phillips please help us understand this.? We love understanding as much as you know 🥰,0.183,0.774,0.044,0.7906,POS
any storm surge across Gulf Blvd in Madeira?,0.0,1.0,0.0,0.0,NEU
yes it just came up over sea wall along Boca Ciega Ave. gulf blvd looks to be flooded by caddy’s,0.124,0.876,0.0,0.4019,POS
any idea what kind of height/depth to the surge? My parents are literally across the street from Caddys.,0.0,1.0,0.0,0.0,NEU
"Omg how can I find DPL live",0.0,1.0,0.0,0.0,NEU
"ABC Action News.",0.0,1.0,0.0,0.0,NEU
Insane amount of rain in Oldsmar.,0.0,0.649,0.351,-0.4019,NEG
our tree fell on my sons car around 8 pm We are in oldsmar Streets are flooded,0.0,1.0,0.0,0.0,NEU
"wow! So sorry 😞",0.612,0.15,0.238,0.5422,POS
this storm has been pretty bad,0.299,0.374,0.327,-0.0772,NEG
"my husband suspects we are up to about 7-8"" of rain from this",0.0,0.833,0.167,-0.34,NEG
Wind and rain insane in Lakewood ranch right now !!!!,0.0,0.699,0.301,-0.5951,NEG
Wind is crazy in downtown npr,0.0,0.676,0.324,-0.34,NEG
yea I thought it was slowing down after 1000pm & it seems Stronger to me,0.178,0.822,0.0,0.3818,POS
"any flooding ? My boutique is in downtown and I’m worried",0.0,0.804,0.196,-0.296,NEG
"I didn’t see any flooding when I just left downtown",0.0,1.0,0.0,0.0,NEU
thank u,1.0,0.0,0.0,0.3612,POS
Lakeland has been getting very strong winds with even stronger gust all evening. Howling! And we are on the very outer edge!,0.253,0.747,0.0,0.7768,POS
"Anyone in Spring Hill? What’s going on there?",0.0,1.0,0.0,0.0,NEU
I was going to ask the same. My daughter & grandson live there & I am concerned.,0.0,1.0,0.0,0.0,NEU
some areas lost power. Lots of rain and mild winds.,0.0,0.796,0.204,-0.3182,NEG
"rain and wind, and some power outages reported",0.0,1.0,0.0,0.0,NEU
pretty windy lots of rain. The gusts just started getting louder outside,0.225,0.775,0.0,0.4939,POS
we are in Hudson near Spring Hill lots of wind and rain . Still have power .,0.0,1.0,0.0,0.0,NEU
thank you so much!,0.482,0.518,0.0,0.4199,POS
"heavy rain and wind, with reported power outages",0.0,1.0,0.0,0.0,NEU
lots of heavy winds and rain.,0.0,1.0,0.0,0.0,NEU
thanks so much!,0.615,0.385,0.0,0.4926,POS
Heavy rain and wind gusts in Spring Hill. Banana trees are down and granddaughters wooden sandbox somehow flipped upside down. I have woods across the street and I've been hearing trees breaking.,0.0,1.0,0.0,0.0,NEU
I’m in Mariner and this is nuts!!! Stay safe,0.289,0.535,0.176,0.3561,POS
You too! I think my greenhouse is gone. lol,0.306,0.694,0.0,0.4753,POS
oh no!!!!!,0.0,1.0,0.0,0.0,NEU
Land O Lakes reporting rain and intermediate winds,0.0,1.0,0.0,0.0,NEU
How can I hear your report. We have a power outage but my phone is charged,0.0,0.855,0.145,-0.296,NEG
"ABC Action News app.",0.0,1.0,0.0,0.0,NEU
Thank you for keeping us informed.,0.333,0.667,0.0,0.3612,POS
"Picking up in Homosassa",0.0,1.0,0.0,0.0,NEU
5 inches of rain in Zephryhills yesterday.,0.0,1.0,0.0,0.0,NEU
I worry about my friend in Gainesville…. What are you thinking for them?,0.199,0.621,0.18,0.0772,POS
What is DPL? What platform is it on?,0.0,1.0,0.0,0.0,NEU
