Amazing how models will agree when there's actually a center to track!  This is a Big Bend storm. Our coastal areas will get pretty gusty tomorrow with much less rain and wind inland. I'll give updated thoughts after the 11pm NHC update.,Pos,Neu,Neg,Compound,Overall Sentiment
It like like a bump to the east,0.5,0.5,0.0,0.6124,POS
Little Debby party here 🥰,0.447,0.553,0.0,0.3446,POS
the best! 😂,0.818,0.182,0.0,0.6696,POS
Time to start eating those snacks 😋,0.0,1.0,0.0,0.0,NEU
Never seen a hurricane model like hwrf be so drunk lol,0.355,0.446,0.199,0.3532,POS
Thank you!,0.736,0.264,0.0,0.4199,POS
Stay safe My family and friends,0.6,0.4,0.0,0.7184,POS
"Thank you Denis Phillips for always keeping us updated",0.238,0.762,0.0,0.3612,POS
Be safe!,0.761,0.239,0.0,0.4926,POS
ugh! Wish it would gtfo! 🤣,0.297,0.33,0.373,-0.1739,NEG
you should have come further south to our house. 😎,0.0,1.0,0.0,0.0,NEU
be careful what you wish for!,0.534,0.466,0.0,0.5562,POS
honky tonk beach style !,0.0,1.0,0.0,0.0,NEU
interesting! I’m on alert !!! Would like some rain but not floods !!😳,0.389,0.611,0.0,0.6562,POS
"twinsies, I was literally reading this post",0.0,1.0,0.0,0.0,NEU
Prayers for us all in the path of this storm!🙏🙏🙏,0.0,1.0,0.0,0.0,NEU
Thank you Denis.,0.556,0.444,0.0,0.3612,POS
Thanks Denis Phillips for the updates!,0.39,0.61,0.0,0.4926,POS
Thank you Denis.,0.556,0.444,0.0,0.3612,POS
Thank you,0.714,0.286,0.0,0.3612,POS
Thanks!,1.0,0.0,0.0,0.4926,POS
