OK. Let's see your hurricane snacks.,Pos,Neu,Neg,Compound,Overall Sentiment
"Here are mine, gotta have the Dr. Pepper.",0.0,1.0,0.0,0.0,NEU
"I am making mine homemade tonight. Cookies, cupcakes, cinnamon roll waffles and I have some fruit and fresh vegetables to nibble on. I’m baking a ham in my crockpot in the morning while I’m at church and we will use the leftover ham for sandwiches if needed. I’m in Jacksonville so we’re not expecting, the same effects that you guys are. We are praying for you. ",0.073,0.927,0.0,0.5859,POS
"please tell me how to cook a ham in the crock pot, my AC isn't working so good so I don't use the oven and I want a ham lol",0.316,0.684,0.0,0.8458,POS
I have been cooking my ham in a crockpot for years now. I just season it good and cut up a stick of butter and put it around the ham and on top of the ham. Depending on the size of your ham you will need to cook it for4 to 6 hours on low heat or you can cook it on high heat in about 2 to 3 hours. I also cut up some potatoes and throw it in around the ham and they are absolutely delicious. ,0.098,0.832,0.071,0.5256,POS
"thank you, I will definitely be trying this",0.51,0.49,0.0,0.6369,POS
your ham will be so juicy. You will love it. Sometimes I pour a bottle of Coke over it and the flavor is just amazing. (I use the Mexican Coke that is made with cane sugar.),0.2,0.8,0.0,0.8402,POS
"thanks for the tip I will do that, I love ham",0.504,0.496,0.0,0.7964,POS
"sounds amazing.. thanks for sharing",0.655,0.345,0.0,0.6908,POS
watch out! Now we are praying for you,0.285,0.715,0.0,0.4199,POS
"Biscuits and gravy it's tradition, and mimosas!",0.0,1.0,0.0,0.0,NEU
looks great! I am very picky about sausage gravy and yours looks perfect….be right there!,0.265,0.735,0.0,0.6892,POS
Thankyou! recipe handed down from generations of great women!,0.369,0.631,0.0,0.6892,POS
"this looks delicious 😊",0.649,0.351,0.0,0.5719,POS
"Looks done. I'll be over in a minute. 😁",0.0,1.0,0.0,0.0,NEU
"I did the same 👍😁",0.0,1.0,0.0,0.0,NEU
"I'm about to make some too",0.0,1.0,0.0,0.0,NEU
"I’ll be right over buddy.",0.0,1.0,0.0,0.0,NEU
"it's the best you'll ever have!! Promise!",0.596,0.404,0.0,0.8114,POS
Cajun boiled peanuts,0.0,1.0,0.0,0.0,NEU
oh lord have mercy. 🤮,0.455,0.545,0.0,0.3612,POS
"yummy 😋",1.0,0.0,0.0,0.5267,POS
Is it even a Tropical Storm yet?,0.0,1.0,0.0,0.0,NEU
maybe he knows something we don’t and he just spilled the beans ,0.0,1.0,0.0,0.0,NEU
Publix had Little Debbie snacks on BOGO! 😆,0.0,1.0,0.0,0.0,NEU
no it’s Hostess on bogo,0.0,0.645,0.355,-0.296,NEG
not down here,0.0,1.0,0.0,0.0,NEU
Well I thought it was only a tropical storm Dennis 😂 do I need to get hurricane snacks now .,0.13,0.87,0.0,0.2732,POS
Any excuse for snacks...and an almost hurricane will do...lol.,0.14,0.86,0.0,0.0772,POS
this. I will get hurricane snacks for a hurricane on the opposite side of the country.,0.0,1.0,0.0,0.0,NEU
thank you for the support! I totally loved your post. From the West Coast Florida!,0.476,0.524,0.0,0.8743,POS
ypu have to have Hurricane snacks on hand throughout the entire Hurricane Season. Things change pretty quickly and you need comfort.,0.331,0.669,0.0,0.836,POS
"yes, you must be prepared just in case. If it’s not a Hurricane you still need to eat them so they don’t go bad. 😁",0.164,0.712,0.125,0.0258,NEU
"so now it's a hurricane??",0.0,1.0,0.0,0.0,NEU
"it looks like it will be one now yes",0.426,0.574,0.0,0.6369,POS
"when it hits Florida, it is now expected to be a Cat. 1 -- winds between 74-95 mph.",0.0,1.0,0.0,0.0,NEU
"Homemade",0.0,1.0,0.0,0.0,NEU
what did you say your address was? 🤣🤣,0.0,1.0,0.0,0.0,NEU
same at my house,0.0,1.0,0.0,0.0,NEU
"here comes the diabetes",0.0,1.0,0.0,0.0,NEU
🤣🤣 not from a couple cupcakes!,0.0,1.0,0.0,0.0,NEU
"lol, a couple….. as the storm picks up I would be binging",0.237,0.763,0.0,0.4215,POS
Currently in Wisconsin,0.0,1.0,0.0,0.0,NEU
We are on our sailboat in the Keys! Thanks for your coverage…all good here!,0.347,0.653,0.0,0.7494,POS
I just got a bunch of Halloween decorations 👻,0.0,1.0,0.0,0.0,NEU
I just realized we have no snacks. My son said to send him a list and he’ll pick them up while he’s out!,0.0,0.889,0.111,-0.3595,NEG
good luck finding any Little Debbie snacks lol.,0.628,0.372,0.0,0.8144,POS
"Got our snacks!",0.0,1.0,0.0,0.0,NEU
did I miss a sale?? 😂,0.0,0.505,0.495,-0.2406,NEG
Publix bogo,0.0,1.0,0.0,0.0,NEU
"Ummm, I bought the drinkable kind of snacks, lol",0.286,0.714,0.0,0.4215,POS
Real Floridians all through these comments. Great job people 🤣,0.339,0.661,0.0,0.6249,POS
Wait…is it a hurricane 😉 I just hit the liquor store😎😎,0.0,1.0,0.0,0.0,NEU
that’s my husband too. I say get some Hurricane stuff and he comes back with a case of Bacardi lol,0.141,0.859,0.0,0.4215,POS
Breakfast this morning haha. However it’ll probably just be a rainy day where I am in Parrish haha.,0.296,0.64,0.064,0.6908,POS
My kind of breakfast!! 👍🏻,0.0,1.0,0.0,0.0,NEU
But it's not a hurricane,0.0,1.0,0.0,0.0,NEU
"Yet. Up here, where my daughter is in northern Citrus County just a few miles south of Yankeetown, it’s expected to be at or near a Cat 1 when it goes by.",0.0,1.0,0.0,0.0,NEU
That makes it an UNhurricane Party!,0.374,0.626,0.0,0.4574,POS
LOVE to see the Publix support! 💚,0.665,0.335,0.0,0.837,POS
they should bring back the store cakes.,0.0,1.0,0.0,0.0,NEU
"There's something seriously wrong with me!",0.0,0.44,0.56,-0.6239,NEG
"For me, soup and sandwich today, yesterday was eat all the stuff in the freezer. Feels like an accomplishment!",0.134,0.866,0.0,0.4199,POS
these are great snacks,0.577,0.423,0.0,0.6249,POS
"but a nutty buddy would be a nice addition!!",0.417,0.583,0.0,0.6467,POS
