"Hurricane Debby has made landfall around 7am,  5 miles west of Steinhatchee, FL  with 80 mph max winds moving NNE at 10mph.",Pos,Neu,Neg,Compound,Overall Sentiment
"No surge flooding in Crystal River so far .🙏🏽",0.0,0.784,0.216,-0.296,NEG
what’s the weather like there now? I’m supposed to be heading there for work shortly.,0.152,0.848,0.0,0.3612,POS
HEAVY rain!,0.0,1.0,0.0,0.0,NEU
raining and windy,0.0,1.0,0.0,0.0,NEU
high tide is coming,0.0,1.0,0.0,0.0,NEU
zip code 34428 hight tide is at 3:47pm,0.0,1.0,0.0,0.0,NEU
"seems like it’s all north- Cedar Key, Horseshoe Beach north 🙁",0.217,0.783,0.0,0.3612,POS
yes,1.0,0.0,0.0,0.4019,POS
What time should Clearwater beach see the storm surge?,0.0,1.0,0.0,0.0,NEU
I know your concern...my son is at the same job site as Wes!,0.0,1.0,0.0,0.0,NEU
Praying for everyone’s saftey,0.455,0.545,0.0,0.3612,POS
I am scared .I live a few miles from there.,0.0,0.707,0.293,-0.4404,NEG
This probably puts Jacksonville in a bad location for the stall and rain totals.,0.0,0.675,0.325,-0.6486,NEG
"Stay safe everyone",0.592,0.408,0.0,0.4404,POS
"Stay safe... 🙏",0.0,1.0,0.0,0.0,NEU
These last bands come with a lot of rain and wind.,0.0,1.0,0.0,0.0,NEU
"Any idea of what to expect in Valdosta?",0.0,1.0,0.0,0.0,NEU
you’re on the west side of the eye so thinking it won’t be as long for you. The east side of this storm is a monster and super long time with heavy rain,0.112,0.888,0.0,0.5994,POS
thanks. I’m hoping for the best for those getting the worst of it.,0.43,0.391,0.178,0.7003,POS
"good luck! For us in Tampa area, if you look at it we are still getting constant rain",0.279,0.721,0.0,0.7345,POS
we are too right now and the winds are also picking up. It’s been raining steadily since about 6pm yesterday (with a short break). We don’t have the surge concerns you guys have and I’m sure it’s worse there. Best of luck to you too!,0.185,0.756,0.059,0.7712,POS
my guess? Definitely wind and rain. Prolly won’t be sunny. Hope this helps.,0.55,0.45,0.0,0.875,POS
