"Tropical Storm Watches and Warnings! What you need to know
We've got a lot to talk about. Tracking what should be Debby in the Gulf later this weekend.   That's right now on DPL.",Pos,Neu,Neg,Compound,Overall Sentiment
What time is it going to be around Tampa and st Pete tomorrow ? Worst time ?,0.0,0.758,0.242,-0.6662,NEG
How confident are you in the NHC track? Do you think it will shift enough to make a difference?,0.173,0.827,0.0,0.5514,POS
We are planning a family vacation to Disney will we be ok for Monday?,0.155,0.845,0.0,0.296,POS
Will it head towards Connecticut? The snowbirds are worried,0.0,0.784,0.216,-0.296,NEG
Thankfully my brother flew in from Montana this morning so no worries here in Lake Wales,0.129,0.598,0.273,-0.4844,NEG
Is it better for the storm to make landfall north or south of Tampa?,0.182,0.818,0.0,0.4404,POS
"Whats the better toilet paper for this storm, 1 ply or 2?",0.225,0.775,0.0,0.4404,POS
Tallahassee in the clear now?,0.394,0.606,0.0,0.3818,POS
Little Debbie takes the place of Publix hurricane cakes,0.0,1.0,0.0,0.0,NEU
Are we good to go to the beach tomorrow afternoon?,0.244,0.756,0.0,0.4404,POS
Omg I can’t lol! Y’all are hysterical!🤣🤣🤣,0.404,0.596,0.0,0.5242,POS
flight out of Tampa on Sunday?,0.0,1.0,0.0,0.0,NEU
Evening all from N St Pete area. Lost power after a lightning and thunder . Duke is driving around our neighborhood.,0.0,0.881,0.119,-0.3182,NEG
Rule number 7?,0.394,0.606,0.0,0.0772,POS
Polk county?,0.0,1.0,0.0,0.0,NEU
Wet meth,0.0,1.0,0.0,0.0,NEU
Rain,0.0,1.0,0.0,0.0,NEU
"Checking in from New York City, will it rain on Sunday?",0.0,1.0,0.0,0.0,NEU
Flights into Tampa on Sunday night???,0.0,1.0,0.0,0.0,NEU
Cocoa Beach?,0.0,1.0,0.0,0.0,NEU
Brevard should be fine,0.375,0.625,0.0,0.2023,POS
"Idalia was no joke for Taylor County and others 😬 What strength now? Cat1?",0.321,0.557,0.122,0.5514,POS
Ocala Florida are we going to be in trouble from Debbie?,0.0,0.787,0.213,-0.4019,NEG
Not even a tropical storm yet,0.0,1.0,0.0,0.0,NEU
Does this mean Monday won't be bad any longer? Like Busch Gardens on Monday?,0.322,0.678,0.0,0.6917,POS
Heading to outer banks this week. Should I cancel?,0.0,0.778,0.222,-0.25,NEG
"Flying in from Maine on Monday to Orlando, what are the chances of a 1pm landing happening?",0.107,0.893,0.0,0.2023,POS
"Flying into Key West Monday afternoon. Assume we are good?",0.244,0.756,0.0,0.4404,POS
Could it stall in South Carolina?,0.0,0.735,0.265,-0.2023,NEG
I have a flight at 740 pm from Fort Lauderdale on Saturday. Do you think it will impact it?,0.0,1.0,0.0,0.0,NEU
Do they make the cone once it’s a named storm?,0.0,1.0,0.0,0.0,NEU
Will my husband and I be able to go out on AMI on Monday?,0.0,1.0,0.0,0.0,NEU
So is my flight on August 9 cancelled 😂😂???,0.0,0.734,0.266,-0.3695,NEG
How does St. Augustine look like for the weekend??,0.263,0.737,0.0,0.4329,POS
What will the weather be like here in Citrus Park of Carrollwood area? Will Sat night be ok to go to Plant City at Fred's Market for dinner?,0.163,0.837,0.0,0.6199,POS
What about winds in Hillsborough County near Plant City,0.0,1.0,0.0,0.0,NEU
"What about AMI area from Saturday to Tuesday?",0.0,1.0,0.0,0.0,NEU
Flying into tpa on Saturday at 6:30 pm- do you think airport will close?,0.0,1.0,0.0,0.0,NEU
I appreciate not down playing this for those of us in low lying areas that could be affected by surge,0.106,0.551,0.342,-0.6114,NEG
Do we need to go to in-laws in Hernando Beach to get stuff up off the garage floor? House on the water.,0.0,1.0,0.0,0.0,NEU
I love your forecasts and updates! Thank you!,0.593,0.407,0.0,0.8065,POS
Spring Hill ~ concerned about Sunday!,0.0,1.0,0.0,0.0,NEU
"My dogs is asking if he’s going to get blown away, thoughts?",0.0,1.0,0.0,0.0,NEU
Thank you for being the voice of reason! We love you in Sarasota! ❤,0.398,0.602,0.0,0.8065,POS
"I am working at a indoor/outdoor flea market in Lake Wales, Sunday will I be fine or just wet?",0.107,0.893,0.0,0.2023,POS
Hi Dennis ! First time checking in from St.Pete! Your the best!!,0.349,0.651,0.0,0.7482,POS
"Denis for once let's leave Polk out of the equation, just once this season",0.0,0.915,0.085,-0.0516,NEG
LOL I agree!!!,1.0,0.0,0.0,0.7851,POS
Is Tampa going to get hit?,0.0,1.0,0.0,0.0,NEU
What about Clearwater beach ?,0.0,1.0,0.0,0.0,NEU
Hi Denis!!!!! Can I walk my dog at 3 PM Sunday? 😂,0.0,1.0,0.0,0.0,NEU
What time will be the worst in hillsborough county,0.0,0.661,0.339,-0.6249,NEG
If I’m leaving Orlando Sunday morning to go back to Sebring how will the roads be or should I leave the night before,0.0,0.946,0.054,-0.0516,NEG
Ocala Florida here what are we to expect with this storm???👋👋👋,0.0,1.0,0.0,0.0,NEU
Will Crystal Beach see the surge? Tide says 2.9 feet at 12:20 on Sunday .,0.0,1.0,0.0,0.0,NEU
Noon high tide in Madeira…that’s the worst right time frame for the surge? Few hours before and after?,0.0,0.792,0.208,-0.6662,NEG
North east coast? Still 40-50?,0.0,1.0,0.0,0.0,NEU
On my phone can't see the days of the track. When is Jacksonville getting it? Thank you!,0.149,0.851,0.0,0.4199,POS
How bad will it be in Pinellas Park,0.0,0.667,0.333,-0.5423,NEG
But will Publix have Little Debbie Cake Bites in lieu of their Hurricane Cakes?,0.0,1.0,0.0,0.0,NEU
Northeast Florida could get some wind around the Jacksonville area if it stays in the water more. (If it makes landfall in the Big Bend area),0.0,1.0,0.0,0.0,NEU
"What about tornadoes in Highlands, which isn't under any watches?",0.0,1.0,0.0,0.0,NEU
It just poured over on Ulmerton about 7pm. Easily dumped 3 inches!,0.167,0.625,0.208,-0.1511,NEG
What kind of after affects can be expected after the storm goes through around Wednesday of next week near a costal location like Sarasota?,0.102,0.898,0.0,0.3612,POS
Should we clear off lanai & bring items in?,0.271,0.729,0.0,0.3818,POS
How much rain do you think for key west on Sunday?,0.0,1.0,0.0,0.0,NEU
"Denis, Surge similar to Eta? Or the recent December no name?",0.0,0.796,0.204,-0.3736,NEG
"So , is Disney gonna close ? Nah I’m jk 😂",0.204,0.645,0.151,0.128,POS
The winds are gonna be like a typical thunderstorm is what it sounds like!,0.325,0.675,0.0,0.6476,POS
Chances of losing power in st Pete?,0.191,0.532,0.277,-0.2023,NEG
Flying into Charleston on Tues morning from Ohio?,0.0,1.0,0.0,0.0,NEU
Are we expecting an update to additional surge expectations besides 1-3 ft.,0.0,1.0,0.0,0.0,NEU
Saturday traveling to Orlando- will that be fine,0.205,0.795,0.0,0.2023,POS
I thought cyclones were formed in the Pacific. Why does this storm have cyclone implications over hurricane?,0.0,1.0,0.0,0.0,NEU
Sunday Late night flight out of Orlando?,0.0,1.0,0.0,0.0,NEU
Flights going out Monday night out of St. Pete airport,0.0,1.0,0.0,0.0,NEU
What will the weather be in fort Myers?,0.0,1.0,0.0,0.0,NEU
"I am sorry, coming in late......how's the outlook for town of Hernando?",0.0,0.885,0.115,-0.0772,NEG
