"Hurricane Debby's Eastern eyewall is making landfall North of Cedar Key. Winds are still 80 mph in a small area. Fortunately,  the storm never rapidly intensified in the very warm Gulf water.",Pos,Neu,Neg,Compound,Overall Sentiment
Why do these storms seem to come at night??,0.0,1.0,0.0,0.0,NEU
"It does seems this way doesn’t it? I’ve been through every South Florida Hurricane since Andrew. Charley was the only one I can remember hitting in broad daylight.
Update; I think Wilma hit at daybreak.",0.0,1.0,0.0,0.0,NEU
Jean hit during the day too but I agree most of the time it happens in the night and I hate that part.,0.119,0.696,0.185,-0.4215,NEG
"I remember Jeanne well. I’m in the Southern part of the state and some of it hit us in the early morning hours when it was still dark. I drove home at daybreak in the eye of the storm. One of the creepiest experiences ever. The wind was calm and I could see blue sky directly above, with the swirling clouds in the distance. My drive home was 13 miles and no cops were on the road. Needless to say, I drove triple digit speeds to beat the second half. About 20 minutes after I got home, it started up again.",0.044,0.934,0.022,0.296,POS
"I grew up in Ohio, I thought the same thing sitting in the basement at night for tornado warnings. It sure messes with the anxiety 😬. Been here since the mid 80’s, this storm has been crazy.",0.058,0.783,0.159,-0.4588,NEG
I said the same thing.,0.0,1.0,0.0,0.0,NEU
i want to know too!,0.347,0.653,0.0,0.1511,POS
"Thank you, as always. Unfortunately, my dog never heard of rule #7 and hasn’t eaten and refuses to go outside.",0.109,0.786,0.105,0.0258,NEU
I always keep wee wee pads in the bathroom because my pup is so scared of storms he won’t go outside either. He is hiding under the blanket now.,0.0,0.814,0.186,-0.7133,NEG
"the last hurricane I had a baby pool in dirt & sod on my back porch and neither of them would even go in it. She is just too nervous and senses so much. The other one is 10 and he has been great and just went outside and I think he went potty for about three minutes straight, but she will not go out.",0.062,0.887,0.051,0.1901,POS
that’s sounds like my pups. I have one who is 15 and he is not phased by the storms because he can’t hear them I believe and he will go outside if I let him but my 5 year old pup is so scared. He always knows when it’s going to storm before I hear it.,0.031,0.877,0.092,-0.6555,NEG
Currently in the Disney bubble and woke up with rain water inside the room. The wind is so hard it pushed water in.,0.0,0.922,0.078,-0.2183,NEG
I was just getting ready to order a foldable baby/pet pool for next time. My pup isn’t really afraid- I hope she will use it. She has never used pads.,0.185,0.815,0.0,0.6887,POS
"oh no poor baby",0.0,0.274,0.726,-0.6486,NEG
thank goodness we had a successful potty break for both in between bands! Whew!,0.497,0.503,0.0,0.8715,POS
"Thanks for letting us know, I’m sure you’re getting exhausted with this one Denis❗️⛈️ and here we go again today☔️💦 😝 this is the most rain I’ve seen in one storm in 22 years‼️ ",0.138,0.796,0.066,0.4019,POS
How are people expected to get to work this morning? We’re still in the middle of this storm and warnings. Too dangerous to be on the roads.,0.0,0.825,0.175,-0.6486,NEG
yep crazy. My bf delivers things across florida. Thinking of every delivery driver out there today. Be safe y'all,0.217,0.681,0.102,0.4019,POS
"I wonder the same thing. Hillsborough county had teachers drive to work today even without students. Multiple other counties closed.
It’s terrible for so many!",0.0,0.871,0.129,-0.5255,NEG
I agree and am one of those people. Have to drive at 7 and I’m scared,0.144,0.69,0.167,-0.1027,NEG
my hubby just left too he delivers CO2 I’m so worried about him driving right now 🙏🙏,0.0,0.848,0.152,-0.4341,NEG
my husbands a driver and is supposed to head to Jax. I forbid him to go!!,0.0,0.818,0.182,-0.4374,NEG
😞 Sorry.,0.0,0.0,1.0,-0.0772,NEG
so don’t go in.,0.0,1.0,0.0,0.0,NEU
I think they will understand. Frankly if they don’t you are working in the wrong place.,0.0,0.819,0.181,-0.4767,NEG
"I’m here at work because I’m a team player. 🤩
Original post was really intended to express concern for others (like my son) who have long commutes across bridges or cars that are low to the ground because of the flooding. Stay safe all!",0.118,0.837,0.045,0.5255,POS
Go away Debby. You’re not welcome here anymore.,0.0,0.738,0.262,-0.357,NEG
Eleventy billion inches of rain at my house.. East Manatee,0.0,1.0,0.0,0.0,NEU
that’s a lot! 😂 Hope you are doing well.,0.514,0.486,0.0,0.6476,POS
for realz!! Hope your well too 🥰,0.583,0.417,0.0,0.6792,POS
"A bit waterlogged for sure, but all good otherwise.",0.478,0.522,0.0,0.6705,POS
This storm was way more than I expected. These winds and rain are pretty intense and they have been going on for hours on end. Almost scared to see what it will look like in daylight hours. 😱,0.168,0.769,0.063,0.5256,POS
I really dislike when they come through a night. This has been a long storm though so it was day and night.,0.0,0.862,0.138,-0.4391,NEG
agree. It’s been horrific here in treasure island and continues. this storm is relentless,0.291,0.493,0.217,-0.128,NEG
"I have a small lake in my yard",0.0,1.0,0.0,0.0,NEU
"I feel the same ! It’s been intense .",0.242,0.758,0.0,0.1511,POS
So far 2 potted trees down and two panels off the pool cage at 2:30 am. S Bradenton.,0.0,1.0,0.0,0.0,NEU
same here in New Port Richey,0.0,1.0,0.0,0.0,NEU
"In Sarasota this makes Ian look like a stroll in the park on a Sunday afternoon. I’m shocked at how relentless this “Tropical Storm” is. The lightning, intense rain, tornado warnings, flash flooding and insane wind is nothing I’ve experienced in my 20 years of living here. The dirty side of this storm is NO JOKE! How is this not a category 2 or 3??? I’m exhausted too and all I did was stay home 🤷‍♀️",0.093,0.715,0.192,-0.8567,NEG
"agreed. Felt just as bad as Ian for us in St Petersburg. Still going, too",0.113,0.699,0.188,-0.34,NEG
I so agree. Very stressful to me. And STILL going. I let water out of my pool 3x.,0.135,0.678,0.187,-0.2648,NEG
"Hurricane Categories
Category 1 Winds 74 to 95 mph
Category 2 Winds 96 to 110 mph.
Category 3 Winds 111 to 130 mph
Category 4Winds 131 to 155 mph
Category 5 Winds greater than 155 mph",0.075,0.925,0.0,0.3612,POS
"rainfall has no factor in determining category, it is windspeed",0.0,0.804,0.196,-0.296,NEG
"I'm in Englewood and still getting rain, wind, and lightening. This is one heck of a tropical storm.",0.0,1.0,0.0,0.0,NEU
it’s a hurricane now.,0.0,1.0,0.0,0.0,NEU
yes I am surprised at all the comments about how bad it is seeing as it's not expected to go past a cat one and it's not yet made landfall. Take care out there!,0.204,0.707,0.088,0.5562,POS
"It’s a hurricane now.",0.0,1.0,0.0,0.0,NEU
in Sarasota too husband left to work in his truck at 3am said he almost didn’t make it and had to rescue a lady stuck in flooding water also trying to make it to work. This is the worst I’ve ever seen been here since 2017,0.064,0.817,0.119,-0.4215,NEG
I just LOST. my tree to the storm. Northdale. County said we are THE 12th.,0.0,0.811,0.189,-0.4648,NEG
Whew... amazing the crazy bands of wind and rain were still getting way down in Charlotte County!,0.19,0.698,0.112,0.4003,POS
Anyone know or think any flights will be flying into Tampa airport this evening?,0.0,1.0,0.0,0.0,NEU
My daughter is in largo with her boyfriend .What is the best time for her to come home across the Gandy we are in plant city ?,0.144,0.856,0.0,0.6369,POS
24 hours ago.,0.0,1.0,0.0,0.0,NEU
It was BAD ! I have to say the worse I’ve seen since moving here in 2010 . That wind and rain 😳. Pete and I hardly slept . ✌️❤️🇺🇸,0.0,0.751,0.249,-0.8236,NEG
"How is it in temple terrace
I got a dr appt there this morning",0.0,1.0,0.0,0.0,NEU
"it's fine. Raining, but no other problems. You should be able to keep your doctor appointment with no problem.",0.05,0.498,0.452,-0.9062,NEG
"i heard its on a path towards Greenville SC with lots of rain",0.0,1.0,0.0,0.0,NEU
Looks like Suwannee is taking the hit.,0.294,0.706,0.0,0.3612,POS
"The western edge of St Pete (1 block from the inland water) has intermittent wind gusts. Not raining at the moment. We have power, thankfully.",0.098,0.801,0.101,-0.0258,NEU
Any reports of storm surge in Treasure Island?,0.239,0.761,0.0,0.296,POS
"I'm in Jungle Terrace on the other side of the inland water.",0.0,1.0,0.0,0.0,NEU
