"Tropical Storm Debby LIVE coverage
Lots of rough weather and warnings!  Bring your questions. That's right now on DPL.",Pos,Neu,Neg,Compound,Overall Sentiment
"This is better than any show on! 😁",0.347,0.653,0.0,0.4926,POS
Thank you for staying on and keeping us updated! Much rather be safe! Hillsborough off Double Branch starting to flood. 🙏❤️,0.24,0.76,0.0,0.717,POS
I’m on Clark in Sarasota and we are getting it bad right now,0.0,0.774,0.226,-0.5423,NEG
"I'm on gulf gate dr. It's scary bad here😱",0.0,0.511,0.489,-0.7717,NEG
be safe,0.744,0.256,0.0,0.4404,POS
You too,0.0,1.0,0.0,0.0,NEU
"Off clark near lockwood. Its bad bad here. We're flooding",0.0,0.533,0.467,-0.7906,NEG
"beneva and bee ridge and we’ve got flickering power",0.0,1.0,0.0,0.0,NEU
I'm on gulf gate dr Really bad here,0.0,0.649,0.351,-0.5849,NEG
be safe. My whole yard in flooded,0.326,0.674,0.0,0.4404,POS
"us too and cable is not working🤦🏼‍♀️
",0.0,1.0,0.0,0.0,NEU
we are pretty much a house in a lake 😅 my bedroom is taking on water,0.211,0.789,0.0,0.4939,POS
"My doodle loves the rain",0.481,0.519,0.0,0.5719,POS
Same! Refuses to come in!,0.0,1.0,0.0,0.0,NEU
"Thank you Denis for always keeping us updated!!",0.306,0.694,0.0,0.4738,POS
We’re at Anna Maria Island. Just lost power with these gusts 😆,0.0,0.813,0.187,-0.3182,NEG
I was just on a video chat with my best friend in Seminole and it was definitely lightening,0.437,0.563,0.0,0.8779,POS
"Anything happening in Pinellas my neighbors powers all out",0.0,1.0,0.0,0.0,NEU
Denis Phillips my dogs relax when youre on the TV. Bucket and Archie want to thank you for everything you do!,0.28,0.72,0.0,0.7177,POS
I've missed all this weather shenanigans/community when living abroad,0.0,0.784,0.216,-0.296,NEG
we missed you too!,0.0,0.546,0.454,-0.3595,NEG
"The storm looks like it’s moving more easterly, is the track still for landfall in big bend or further south?",0.116,0.884,0.0,0.3612,POS
"Getting huge wind gusts in Bradenton!",0.341,0.659,0.0,0.3802,POS
"We are starting to see water rise in my neighborhood",0.0,1.0,0.0,0.0,NEU
Water is breaching wall behind house has gone up four inches in an hour,0.0,1.0,0.0,0.0,NEU
I love that Dennis also speaks out loud as he types 😂,0.318,0.682,0.0,0.6369,POS
Bradenton by st rd 70 is really bad what is happening?!?,0.0,0.692,0.308,-0.6646,NEG
All of the ponds in Pasco are FULL,0.0,1.0,0.0,0.0,NEU
We are pretty flooded in Largo,0.39,0.61,0.0,0.4939,POS
Same here (Largo) .,0.0,1.0,0.0,0.0,NEU
I’d never heard the 20/20/20 either! Great help!,0.552,0.448,0.0,0.8118,POS
"Me either! It does help!",0.451,0.549,0.0,0.508,POS
It raining so hard down in Wimauma. Omg the wind and lightning. Is there rotation in the main band ?,0.0,0.906,0.094,-0.2183,NEG
feels like it just picked up like crazy,0.403,0.403,0.194,0.3818,POS
"doesn’t appear so
You can add the accuweather app and it will send you an alert also if anything 🌪️🚩",0.104,0.896,0.0,0.296,POS
When will the storm surge be for pinellas county?,0.0,1.0,0.0,0.0,NEU
Still nasty here in Sarasota! I just cannot sleep. Thunder and lightning is keeping me up 😜,0.0,0.782,0.218,-0.5983,NEG
Same in LWR,0.0,1.0,0.0,0.0,NEU
it just woke me up 😣,0.0,1.0,0.0,0.0,NEU
Only man I trust! Well for the weather. lol thank you for all you do!,0.53,0.47,0.0,0.8829,POS
Would rides at a theme park be open tomorrow?,0.0,1.0,0.0,0.0,NEU
I’m about to put my headphones on. I can’t deal with these wind gusts in st pete anymore!!!! It’s been happening for hours 🙈🙈🙈🙈,0.0,1.0,0.0,0.0,NEU
"My radar is also amazing",0.487,0.513,0.0,0.5859,POS
Anyone seen the right turn on the last few radar slides?,0.0,1.0,0.0,0.0,NEU
Definitely looks like it,0.722,0.278,0.0,0.6369,POS
