"Tropical Storm Debby LIVE coverage
Let's do this. Bring your questions. That's right now on DPL.",Pos,Neu,Neg,Compound,Overall Sentiment
"Because they don't want the airplanes here overnight.",0.0,0.851,0.149,-0.0572,NEG
"Found a new leak in my roof. Yay☹️",0.0,0.714,0.286,-0.34,NEG
We are so lucky we technically got spared really bad weather here in South Florida. I am near Hallandale and we’ve had just a couple of gusty rain showers here and there.,0.102,0.791,0.107,-0.0456,NEU
"Hey Dennis , do you think I’ll be able to go to work tomorrow in winter haven 🤣",0.0,1.0,0.0,0.0,NEU
"We’ve had some short periods of heavy rain, but no wind here in Weeki Wachee",0.0,0.833,0.167,-0.4215,NEG
What time frame for winds in crystal river,0.0,1.0,0.0,0.0,NEU
"Go Gov DeSantis!! Great leader.",0.539,0.461,0.0,0.6892,POS
"Boy, it’s tough to have pups in this weather. They definitely don’t wanna go outside!",0.171,0.743,0.086,0.3595,POS
"Springhill rain!!!!",0.0,1.0,0.0,0.0,NEU
Great job by Denis keeping everyone informed and the governor along with emergency officials for preparation,0.198,0.676,0.126,0.3612,POS
Crystal River Cowboy checking in!,0.0,1.0,0.0,0.0,NEU
"Please dont leave your pets 🙏🙏. That would be the same as leaving ur kiddos.",0.21,0.79,0.0,0.3502,POS
So is it a cat 1 or just a tropical?,0.0,1.0,0.0,0.0,NEU
Is it going to be bad going up coast?SC up,0.0,0.72,0.28,-0.5423,NEG
Is it almost past us in Tampa area? This was mild compared to our summer storms.,0.0,1.0,0.0,0.0,NEU
"I think there is another band coming shortly.",0.0,1.0,0.0,0.0,NEU
Far from over in Tampa. It's swfl it's just now slowing and it's been pouring since 4am,0.0,1.0,0.0,0.0,NEU
"I’m in South tampa rain but nothing major",0.0,1.0,0.0,0.0,NEU
I would love to know what you do to remain so calm when some of us are panicking?,0.299,0.581,0.12,0.6476,POS
why panic,0.0,0.233,0.767,-0.5106,NEG
Most of us are not panicking! No need.,0.433,0.567,0.0,0.5553,POS
Guess I should have said some of us including myself that have been through hurricanes including Andrew!,0.0,1.0,0.0,0.0,NEU
Been in Florida my whole life. Hurricanes are just a way of life here. We just watch and see where it's going. Then we decide on where to go. You only really need to get 20 or 30 miles away from it.,0.0,1.0,0.0,0.0,NEU
"Me too, Hurricane Andrew was my 1st and it was devastating and caused me PTSD! I'm not ashamed to say that!",0.097,0.719,0.185,-0.5155,NEG
What does Tampa have in store Monday?,0.0,1.0,0.0,0.0,NEU
"Has the worst of it came through Bradenton already?",0.0,0.661,0.339,-0.6249,NEG
How many miles is the eye from Tampa?,0.0,1.0,0.0,0.0,NEU
It’s been pouring here in Zephyrhills,0.0,1.0,0.0,0.0,NEU
"it's turning toward Tampa ! (leaning back in my armchair)",0.0,1.0,0.0,0.0,NEU
What about Jacksonville? The weather channel always skips over us so I’m starting to think nothing 😂,0.0,1.0,0.0,0.0,NEU
"Is it moving at the same rate it was yesterday?",0.0,1.0,0.0,0.0,NEU
"Is it possible to be a low cat 2 when it hits?",0.0,0.811,0.189,-0.2732,NEG
"That’s me love my plants 🌱",0.512,0.488,0.0,0.6369,POS
100%,0.0,1.0,0.0,0.0,NEU
Crystal river timing ?,0.0,1.0,0.0,0.0,NEU
Are they going to ground planes?y friend is in the air right now on her way to Orlando.,0.158,0.842,0.0,0.4939,POS
Fort Myers is under water from storm surge… wanting to know if Naples is… I’m in Wesley Chapel all we have is light rain,0.0,1.0,0.0,0.0,NEU
How much longer before this is over for Pinellas County?,0.0,1.0,0.0,0.0,NEU
"Will that heavy rain make it to Pasco soon?",0.0,1.0,0.0,0.0,NEU
Apollo Beach has some outages from transformer blowing,0.0,1.0,0.0,0.0,NEU
"which part? Thankfully we're still on",0.359,0.641,0.0,0.4215,POS
"Sorry Denis- I ONLY listen to u not this guy",0.0,0.843,0.157,-0.0772,NEG
"north Lakeland is getting a typical rain. Nothing extreme",0.0,1.0,0.0,0.0,NEU
"Out of power in largo",0.0,1.0,0.0,0.0,NEU
"us too in Belleair Bluffs",0.0,1.0,0.0,0.0,NEU
"It's gonna be a 2 before hits up here in the big bend area on Mon. It's going to be one by 8 pm or earlier than that, where that one is spinning out there 🤯, that's right by where I live..",0.0,1.0,0.0,0.0,NEU
When will pinellas be in the clear?,0.302,0.698,0.0,0.3818,POS
Chilling at the Bonefish in Brandon-try the salmon,0.0,0.864,0.136,-0.0258,NEU
"Is clearwater flooded? We are supposed to be there tomorrow..",0.0,1.0,0.0,0.0,NEU
"Tomorrow commute? Will it be safe?",0.395,0.605,0.0,0.504,POS
"The ASL interpreter is needed, too. We have deaf people in town. There's a special school for the deaf in North Florida!",0.13,0.87,0.0,0.4574,POS
Well I've certainly learned my lesson!,0.545,0.455,0.0,0.5848,POS
