On my way to the store to get storm snacks for work. #littledebbie #cosmicbrownies,Pos,Neu,Neg,Compound,Overall Sentiment
Got mine!,0.0,1.0,0.0,0.0,NEU
oh I haven’t seen zebra doughnuts and I was just at Publix. We already had the giant box of nutty buddy and zebra cakes,0.0,1.0,0.0,0.0,NEU
"I had Kroger deliver this morning. I've never had them before!",0.0,1.0,0.0,0.0,NEU
"dang! Now I’m on a mission to find them",0.0,1.0,0.0,0.0,NEU
"Shell Key, the calm before the storm",0.277,0.723,0.0,0.3182,POS
"New Port Richey Lightning, low visibility, tropical storm rain",0.0,0.792,0.208,-0.2732,NEG
Aww I love me some cosmic brownies!!!,0.504,0.496,0.0,0.7249,POS
I’m literally eating one of those right now! 🤣🤣🤣,0.0,1.0,0.0,0.0,NEU
"We are all stocked up on whisky, wine and beer. Should be able to make it through this one! Oh, food also.",0.0,1.0,0.0,0.0,NEU
"You are going to be prepared !! Little Debbie’s.. lol",0.385,0.615,0.0,0.6131,POS
These really are my favorite 😩,0.449,0.551,0.0,0.5046,POS
What about the entamins chocolate frosted donuts,0.0,1.0,0.0,0.0,NEU
Love them,0.808,0.192,0.0,0.6369,POS
"So Denis Phillips, I’m planning to go boat in the rainbow river at 2:00 tomorrow afternoon. Am I safe out there or will lightening get me?",0.108,0.892,0.0,0.4404,POS
I am addicted to these brownies!!! 😊,0.0,1.0,0.0,0.0,NEU
Bought mine already,0.0,1.0,0.0,0.0,NEU
"Star Crunch and Zebra Cakes!!!",0.0,1.0,0.0,0.0,NEU
Watch out Denis you’re going to end up with cases and cases of these like you did the diet Dr Pepper one year 😂,0.102,0.898,0.0,0.3612,POS
Too bad the Christmas tree cakes are not out yet,0.0,0.72,0.28,-0.5423,NEG
"so true!! They are THE BEST Little Debbie snack!",0.56,0.44,0.0,0.8721,POS
they truly are they should put them out for Christmas in July lol,0.341,0.659,0.0,0.6908,POS
yes! Or make them in just a square shape and have them all the time!,0.202,0.798,0.0,0.508,POS
that too lol,0.583,0.417,0.0,0.4215,POS
Did you get some Diet Dr. Pepper? I was disappointed to see the Diet Caffeine Free Coke.,0.162,0.686,0.152,0.0516,POS
We got our peanut butter Lil Debbie s,0.0,1.0,0.0,0.0,NEU
You Crack me up! Don't forget the diet dr peppee!,0.2,0.8,0.0,0.3071,POS
My grandsons favorite,0.6,0.4,0.0,0.4588,POS
At least now I know I will be on people’s minds for the next few days. 😂 #MyNameIsDebbie,0.0,1.0,0.0,0.0,NEU
I bought all kinds of little Debbie snacks yesterday to ride out the weekend. LOL,0.214,0.786,0.0,0.5473,POS
I’ve had these.. delicious,0.552,0.448,0.0,0.5719,POS
"Rain started, you need to head back!",0.0,1.0,0.0,0.0,NEU
Got mine!,0.0,1.0,0.0,0.0,NEU
All the food stores are packed,0.0,1.0,0.0,0.0,NEU
Why can't we name hurricanes after movie characters. I want to name one Marge so I can see the headlines. Large Marge wrecks havoc,0.052,0.794,0.155,-0.5574,NEG
"This Debby is kind of a downer.
(Heads to the wine store)",0.0,1.0,0.0,0.0,NEU
I'm hooked on wawa brownies lol,0.359,0.641,0.0,0.4215,POS
"Thank you Denis, we will be watching with you . Simply the best 🙂",0.401,0.599,0.0,0.7717,POS
Grab Diet Dr. Pepper too!,0.0,1.0,0.0,0.0,NEU
"Yeah, this is your fault! 😅",0.269,0.366,0.365,-0.2003,NEG
"Eat enough Little Debbie's and you become big Debbie. Lol.",0.237,0.763,0.0,0.4215,POS
"best comment!!!",0.835,0.165,0.0,0.7249,POS
Best of both worlds!,0.6,0.4,0.0,0.6696,POS
Don’t forget the Diet Dr Pepper,0.0,0.725,0.275,-0.2263,NEG
Swiss cream rolls ...in the freezer!!!,0.0,1.0,0.0,0.0,NEU
Love those!,0.818,0.182,0.0,0.6696,POS
The perfect choice,0.649,0.351,0.0,0.5719,POS
"Now I want those! 🤣 Thanks alot Denis Phillips",0.473,0.527,0.0,0.5411,POS
"We bought ours yesterday! 😂 I couldn’t resist..",0.0,1.0,0.0,0.0,NEU
"stay safe, my friend!!",0.77,0.23,0.0,0.7707,POS
thanks! We’re buckled down and ready. Storm surge is our biggest threat. Fingers crossed it’s not too bad here.,0.317,0.557,0.126,0.63,POS
Nutty buddies are my preference!!,0.0,1.0,0.0,0.0,NEU
"you don’t like Little Debby’s? 😂😂",0.333,0.667,0.0,0.3612,POS
Those are good!!,0.635,0.365,0.0,0.5399,POS
Might as well sit back and relax Denis as we are good,0.467,0.533,0.0,0.7845,POS
"I just bought some Little Debbie snacks too! LOL",0.353,0.647,0.0,0.5893,POS
storm Party at Traci’s. BYO snack cakes lol!!💜,0.319,0.681,0.0,0.508,POS
"woo hoo! 🎉",0.772,0.228,0.0,0.5255,POS
"Conrad, my grandson, ate them everyday until he tried Publix's organic brookies.
Part brownie, part chocolate chip cookie. They are terrific.",0.134,0.866,0.0,0.4767,POS
we have those in NY Price Chopper the best idea ever,0.296,0.704,0.0,0.6369,POS
Where are you ? No updates for two hours?,0.0,0.732,0.268,-0.3736,NEG
"he is in a sugar coma from the Little Debbies!",0.0,1.0,0.0,0.0,NEU
You need some Diet Dr Pepper too sir!,0.0,1.0,0.0,0.0,NEU
"Wow getting Little Debbie’s snacks for the arrival of Debbie!! 😋",0.328,0.672,0.0,0.658,POS
M & Ms are my storm snack of choice 😁,0.0,1.0,0.0,0.0,NEU
Definitely got these delivered from Walmart this morning 👀 😂,0.278,0.722,0.0,0.4019,POS
Headed to Publix as soon as I get home from the beach 😃,0.0,1.0,0.0,0.0,NEU
Don't forget the Dr P🎉🎉🎉,0.294,0.706,0.0,0.1695,POS
"I already got mine but we snuck a few out",0.0,1.0,0.0,0.0,NEU
"Got my Little Debbie's yesterday",0.0,1.0,0.0,0.0,NEU
"got mine at walmart",0.0,1.0,0.0,0.0,NEU
I got these for my guys! They are very happy!!😃,0.0,1.0,0.0,0.0,NEU
"that’s awesome",0.804,0.196,0.0,0.6249,POS
"These are my fav.",0.5,0.5,0.0,0.4588,POS
My favorite!!,0.782,0.218,0.0,0.555,POS
"Are we branding storms now? Debbie, followed by Eggo, FrootLoops and Gatorade!",0.0,1.0,0.0,0.0,NEU
"Getting Prepared😊",0.0,1.0,0.0,0.0,NEU
"Little Debbie's & Dr. P?",0.0,1.0,0.0,0.0,NEU
Lol!!! I want some now! Hahaha!,0.816,0.184,0.0,0.8346,POS
Denis you’re a hoot 😂,0.0,1.0,0.0,0.0,NEU
"Just had a Double Decker Oatmeal Cream Pie because if this storm isn't going to kill me, something else has to",0.164,0.836,0.0,0.5773,POS
"The best ever!!!!",0.729,0.271,0.0,0.7482,POS
"I went with Hostess, those are on BOGO this week. Sorry Debbie.",0.0,0.885,0.115,-0.0772,NEG
I’m suprised publix didn’t pull a bogo little Debbie sales out of their hats 😂,0.0,1.0,0.0,0.0,NEU
"All stocked up here 🤣",0.0,1.0,0.0,0.0,NEU
"Collard greens, fried okra for me. Then OJ ice cream from Yellow Banks. Chip and dip.",0.0,1.0,0.0,0.0,NEU
"My favorite also.",0.6,0.4,0.0,0.4588,POS
"It’s pouring here in Holiday!!!",0.472,0.528,0.0,0.5538,POS
Hopefully there's some left for you! Gotta have snacks you know as you will need them at work.,0.15,0.85,0.0,0.4574,POS
"Well she’s going to get a lot of attention and profits too funny!",0.477,0.523,0.0,0.8016,POS
"Starcrunch and Nutty Buddy",0.0,1.0,0.0,0.0,NEU
I'm making my own.,0.0,1.0,0.0,0.0,NEU
My favorite!!!!!!,0.0,1.0,0.0,0.0,NEU
Oatmeal!!,0.0,1.0,0.0,0.0,NEU
How appropriate!,0.0,1.0,0.0,0.0,NEU
Little Debbie stopped making banana twins. 😭😭😭,0.0,0.787,0.213,-0.1585,NEG
Don’t forget Dr Pepper,0.0,0.612,0.388,-0.2263,NEG
Good choice 🙂,0.744,0.256,0.0,0.4404,POS
"Best ones too 😁",0.677,0.323,0.0,0.6369,POS
Exactly the storm I was wanting!!! A cosmic brownie storm!,0.0,1.0,0.0,0.0,NEU
"Snack attack!!!",0.0,0.201,0.799,-0.6093,NEG
The Little Debby ice cream they sell is some next level stuff. Won't do you much good though if you lose power.,0.113,0.781,0.105,0.0516,POS
"I got my cosmic brownies already😂",0.0,1.0,0.0,0.0,NEU
"Soooooo FUNNY…
Just what YOU need to get you through the next few days…❤️",0.0,1.0,0.0,0.0,NEU
We bought some too in case our condo building residents decide to get together tomorrow!,0.0,1.0,0.0,0.0,NEU
Love this meme,0.677,0.323,0.0,0.6369,POS
"Little debbie cakes and pies might sell out😅🤣😂",0.0,1.0,0.0,0.0,NEU
Denis Phillips ...what about these?,0.0,1.0,0.0,0.0,NEU
Wish the hurricane center would learn how to spell DebbIE 😂,0.231,0.769,0.0,0.4019,POS
"Dang! I got Doritos and cheese dip and salsa, completely forgot the sweet stuff!!!!!!🤬",0.27,0.73,0.0,0.6632,POS
